# SOLV pool-write manifest — the reviewed registry of every mutation of the game's
# counted ETH-obligation terms and every call of their canonical mutator helpers.
#
# The counted terms are exactly the obligation set the protocol totals in
# DegenerusGameJackpotModule.distributeYieldSurplus (and the EthSolvency oracle
# mirrors in test/fuzz/helpers/SolvencyObligations.sol):
#   currentPrizePool + next/future (prizePoolsPacked) + claimablePool
#   + yieldAccumulator + pending next/future (prizePoolPendingPacked).
# This enumeration was proven COMPLETE at review time: every sub-pool is carved
# from a counted term or holds no wei.
# This manifest is the drift gate that keeps that proof true: a new/moved site
# that mutates a counted term (or calls a canonical mutator) must be classified
# here, forcing the provenance question (paired? backed? relabel?) on review.
#
# CLASS semantics (the reviewed judgement; the gate does not re-derive it):
#   DECL         state-variable declaration
#   MUTATOR-DEF  canonical helper definition / the raw write inside its body
#   VALUE-IN     term rises backed by value arriving in the same flow
#                (msg.value, stETH pull, or recognized yield surplus)
#   VALUE-OUT    term falls as value leaves (withdrawal, payout, cross-contract
#                handoff re-counted on the receiving side)
#   POOL-TO-POOL redistribution among counted terms (relabels, freeze folds,
#                budget carves) — the obligation SUM is preserved
#   PAIRED-CREDIT per-player ledger credit whose aggregate move is paired at the
#                same site or folded once by the caller (claimablePool == Σ halves)
#   PRE-COUNTED  per-player credit whose aggregate entered claimablePool at an
#                earlier site (decimator/BAF rounds counted at snapshot)
#   DRAIN-ZERO   game-over drain / final-sweep zeroing (terminal collapse)
#
# Matching key: IDENTIFIER|FUNCTION|FILE|MODE (line numbers deliberately absent —
# they drift; multiple same-key sites in one function share one row and the
# rationale says so). TRACKED_SET must equal the check script's identifier list.
#
# TRACKED_SET: claimablePool currentPrizePool prizePoolsPacked prizePoolPendingPacked yieldAccumulator _setPrizePools _setPendingPools _setCurrentPrizePool _setFuturePrizePool _addPrizeContribution _creditClaimable _addNextPrizePool _addFuturePrizePool
CLASS	IDENTIFIER	FUNCTION	FILE	MODE	RATIONALE
VALUE-OUT	claimablePool	_claimWinningsInternal	DegenerusGame.sol	WRITE	player withdrawal: aggregate falls as ETH leaves (CEI); per-player claimable zeroed in tandem
VALUE-OUT	claimablePool	pullRedemptionReserve	DegenerusGame.sol	WRITE	redemption reserve segregated to sDGNRS: ETH transfers out; re-counted there as pendingRedemptionEthValue (boundary paired by RedemptionAccounting)
VALUE-OUT	claimablePool	withdrawAfkingFunding	DegenerusGame.sol	WRITE	prepaid afking returned to funder; per-player afking half debited in tandem
POOL-TO-POOL	_setPrizePools	_consolidatePoolsAndRewardJackpots	modules/DegenerusGameAdvanceModule.sol	READ	end-of-level consolidation write-back of the memory-composed next/future pools
POOL-TO-POOL	claimablePool	_consolidatePoolsAndRewardJackpots	modules/DegenerusGameAdvanceModule.sol	WRITE	BAF + decimator claimableDelta: future -> claimable; rounds thereby PRE-COUNTED for later per-player claims
POOL-TO-POOL	currentPrizePool	_consolidatePoolsAndRewardJackpots	modules/DegenerusGameAdvanceModule.sol	WRITE	consolidation: next merges into current, x00 keep-roll moves future->current
POOL-TO-POOL	yieldAccumulator	_consolidatePoolsAndRewardJackpots	modules/DegenerusGameAdvanceModule.sol	WRITE	insurance skim in (from next), x00 half-dump out (to future) - both intra-set
POOL-TO-POOL	_setFuturePrizePool	_freezePool	modules/DegenerusGameAdvanceModule.sol	READ	freeze seed: 1% of future moves to the pending-future buffer
POOL-TO-POOL	_setPendingPools	_freezePool	modules/DegenerusGameAdvanceModule.sol	READ	freeze seed target (pending future)
POOL-TO-POOL	prizePoolPendingPacked	_freezePool	modules/DegenerusGameAdvanceModule.sol	WRITE	zero-seed branch: clears stale pending at freeze; no value moves
POOL-TO-POOL	_setPrizePools	_unfreezePool	modules/DegenerusGameAdvanceModule.sol	READ	pending accumulators fold back into the live pools at unlock
POOL-TO-POOL	prizePoolPendingPacked	_unfreezePool	modules/DegenerusGameAdvanceModule.sol	WRITE	pending cleared after the fold (paired with the live-pool credit above)
PRE-COUNTED	_creditClaimable	_claimDecimatorJackpotFor	modules/DegenerusGameDecimatorModule.sol	READ	game-over claim leg: round pool entered claimablePool at snapshot (AdvanceModule claimableDelta)
