# Advance-chain external-call manifest — the reviewed registry behind scripts/check-advance-calls.sh.
#
# One row per external call site in the crank's file set (scripts/lib/external_call_extract.py:
# the game facade, its storage base, the advance module and every module the advance reaches).
# CLASS is the reviewed reachability judgement; the gate keeps the registry in exact
# correspondence with source and requires every CRANK-PINNED row to name a test that drives
# the callee (the file must literally mention the callee function).
#
# Roots: DegenerusGame.advanceGame -> AdvanceModule.advanceGame (every internal it reaches:
# rngGate, _finalizeRngRequest, _unlockRng, _handleGameOverPath, _consolidatePoolsAndRewardJackpots,
# _endPhase, _rewardTopAffiliate, _distributeYieldSurplus, _runSubscriberStage, the ticket batches,
# _autoStakeExcessEth, _tryRequestRng, _requestVrfWord, _afKingSubDraw, _backfillGapDays,
# _gameOverEntropy, _resolvePendingRedemption); the VRF fulfilment (rawFulfillRandomWords, which
# makes no external call); the keeper router mineFlip (advance self-call, _autoOpen/_openAfkingBox,
# openHumanBoxes, _crapsKeep under try). Module roots: Mint.processTicketBatch/processFutureTicketBatch,
# Afking.processSubscriberStage, Jackpot.payDailyJackpot/payDailyJackpotCoinAndTickets/payDailyFlipJackpot/
# distributeYieldSurplus, GameOver.handleGameOverDrain/handleFinalSweep, the facade self-calls
# runBafJackpot/runDecimatorJackpot/runTerminalJackpot/runTerminalDecimatorJackpot/emitDailyWinningTraits.
#
# Classes: CRANK-PINNED (bare, on the crank, pin required) · CRANK-TRY (wrapped at the site) ·
# CRANK-CAUGHT (bare at the site, but every crank path to it crosses an upstream try/catch —
# the rationale names the catching site) · CRANK-SELF (delegatecall/self-call into own module code)
# · CRANK-POLICY (documented intentional halt) · OFF-CRANK (not reachable from any root) ·
# CRANK-UNPINNED (bare crank call with no pin yet — the gate refuses it).
#
# Columns: CLASS  callee  function  file  mode  pin  rationale
CLASS	callee	function	file	mode	pin	rationale
OFF-CRANK	lowlevel:call	constructor	DegenerusGame.sol	BARE		deploy-time ENS reverse-name registration; result ignored; unreachable after construction
CRANK-SELF	lowlevel:delegatecall	advanceGame	DegenerusGame.sol	BARE		advanceGame dispatcher -> GAME_ADVANCE_MODULE.advanceGame (msg.data forwarded); own-storage revert bubbles by design
OFF-CRANK	lowlevel:delegatecall	wireVrf	DegenerusGame.sol	BARE		ADMIN-only VRF wiring (DegenerusAdmin.wireVrf is the caller)
OFF-CRANK	lowlevel:delegatecall	claimBingo	DegenerusGame.sol	BARE		player entry claimBingo
OFF-CRANK	lowlevel:delegatecall	subscribe	DegenerusGame.sol	BARE		player / sDGNRS / VAULT subscribe entry (afking module); never reached from a crank root
CRANK-SELF	lowlevel:delegatecall	mineFlip	DegenerusGame.sol	BARE		keeper router entry -> GAME_AFKING_MODULE.mineFlip (advance, box-open, craps legs run in-context); own-storage revert bubbles
OFF-CRANK	lowlevel:delegatecall	claimAfkingFlip	DegenerusGame.sol	BARE		player entry claimAfkingFlip
OFF-CRANK	lowlevel:delegatecall	drainAffiliateBase	DegenerusGame.sol	BARE		reached only from DegenerusAffiliate.claim (player affiliate claim)
OFF-CRANK	lowlevel:delegatecall	decurse	DegenerusGame.sol	BARE		player entry decurse
OFF-CRANK	lowlevel:delegatecall	clearSeatEncumbrance	DegenerusGame.sol	BARE		reached only from AFKingSubscriptionToken.reclaimSeat (player seat reclaim)
OFF-CRANK	lowlevel:delegatecall	smite	DegenerusGame.sol	BARE		player entry smite (deity holder)
OFF-CRANK	lowlevel:delegatecall	recordAfkingSecondary	DegenerusGame.sol	BARE		QUESTS callback on player quest completion / streak bonus; crank quest calls (rollDailyQuest, rollLevelQuest, finalizeAfking) never reach it
